timestamp;hashtag;trackterm;count
1572206985000;#imafraud;trump;4
1572208044000;#impeachthemf;trump;25
1572216150000;#inequality;sanders;2
1572208654000;#ireallyamthisstupid;trump;4
1572214018000;#is;trump;4
1572216456000;#itrustbernie;sanders;2
1572211429000;#ivankatrump;trump;2
1572203558000;#jewish;warren;2
1572211160000;#jointforce;trump;4
1572205341000;#kurdes;trump;2
1572209716000;#latamerica19;trump;5
1572209091000;#legalimmigrants;trump;17
1572215347000;#lindseygraham;trump;2
1572211875000;#lodigosinanestresia;trump;5
1572208648000;#mariannewilliamson;election2020;2
1572209921000;#mattis;trump;2
1572204010000;#medicareforall;warren;3
1572204212000;#mnoallegadodepaz;trump;2
1572203970000;#montana;sanders;7
1572206397000;#mostknowledgeable;warren;3
1572211854000;#msnbcmoms;election2020;7
1572212639000;#musicartist;trump;2
1572207997000;#need;trump;11
1572215583000;#neverbernie;sanders;10
1572208615000;#not4me4us;election2020;4
1572211122000;#notmeus;sanders;109
1572206523000;#notmeus;trump;9
1572210462000;#notneus;sanders;3
1572215505000;#nra;trump;4
1572215052000;#opdeatheaters;trump;2
1572214778000;#p2;sanders;2
1572206517000;#panflute;trump;2
1572212537000;#pathologicalliar;trump;2
1572209561000;#pelosidems;trump;2
1572208855000;#politicalphotographer;warren;3
1572208885000;#politics;warren;3
1572203950000;#potus;trump;25
1572212639000;#producers;trump;2
1572213396000;#promisesmadepromiseskept;trump;22
1572216061000;#putinspuppet;trump;7
1572206985000;#putintrump2020;trump;9
1572205347000;#realdonaldtrump;trump;3
1572205426000;#resignnowtrump;trump;2
1572206590000;#robdrake;election2020;2
1572207478000;#russiagate;trump;7
1572212569000;#russian;trump;2
1572204179000;#russia;trump;8
1572210162000;#sanders2020;sanders;2
1572215789000;#satx;election2020;2
1572216384000;#signaletoncandidatlarem;election2020;2
1572210612000;#sondland;trump;2
1572212331000;#staged;trump;6
1572206893000;#success;trump;2
1572205171000;#sundaymotivation;election2020;4
1572204290000;#sundaythoughts;sanders;5
1572214778000;#tcot;sanders;2
1572215018000;#tds2019;trump;3
1572212198000;#teamwarren;warren;11
1572204992000;#tekno;trump;3
1572206263000;#thegreatawakening;trump;3
1572211459000;#traitorssupporttraitortrump;trump;12
1572211116000;#truepatriotsdontvotefortrump;trump;3
1572203871000;#trumpagenda;trump;2
1572206840000;#trumpbetrayedthekurds;trump;15
1572206772000;#trumpisadisgrace;trump;7
1572214557000;#trumpisatraitor;trump;2
1572211930000;#trumpisawarcriminal;trump;2
1572211871000;#trumpismypresident;trump;2
1572205420000;#trumpsarussianasset;trump;3
1572208986000;#trumpstagedfakenews;trump;2
1572212372000;#truthexposed;trump;2
1572215974000;#txlege;election2020;2
1572210972000;#tyt;election2020;7
1572213127000;#ukraineextortion;biden;3
1572212102000;#usa;election2020;2
1572204654000;#vagineck;trump;3
1572214795000;#west;election2020;2
1572203929000;#womenintech;trump;4
1572207356000;#worldseries2019;trump;8
1572205674000;#ypg;trump;4
1572207030000;#27oct;trump;55
1572205131000;#aging;election2020;2
1572215669000;#americafirst;trump;24
1572211370000;#america;trump;16
1572204502000;#amidoingthisright;trump;4
1572216339000;#amobernie;sanders;60
1572215138000;#amobernie;trump;2
1572209218000;#armscontrol;trump;4
1572208918000;#articles;trump;4
1572215735000;#attackdog;trump;2
1572208370000;#away;trump;11
1572214032000;#bidladen;trump;4
1572216740000;#blackmedia;warren;2
1572214820000;#brexit;election2020;6
1572210336000;#brianhouston;trump;6
1572212223000;#buildthewall;trump;107
1572214128000;#campaigncontribution;election2020;2
1572209489000;#cannabisnews;sanders;2
1572210526000;#daech;trump;2
1572210757000;#daeshcoward;trump;2
1572211420000;#deepstatecoup;election2020;6
1572206913000;#deletefacebook;election2020;6
1572206590000;#democrats;election2020;9
1572206730000;#democrats;sanders;5
1572204373000;#derangeddonald;trump;3
1572203815000;#ditchmitch2020;election2020;5
1572212615000;#donalddonniejrkushnerivanka;trump;3
1572207818000;#donaldjtrump;trump;2
1572206069000;#duhok;trump;3
1572210275000;#dummydonnie;trump;2
1572214128000;#election2020;election2020;106
1572210187000;#estadosunidos;trump;6
1572212844000;#expoaéreoven2019;trump;14
1572215087000;#factsmatter;trump;6
1572216226000;#fakenewsmedia;trump;6
1572209585000;#fakepresident;trump;11
1572205012000;#federaljobguarantee;election2020;5
1572214665000;#fionahill;election2020;2
1572203363000;#fourmoreyears;trump;2
1572205674000;#freeocalan;trump;2
1572210675000;#fuckingmoron;trump;2
1572212639000;#gkr;trump;2
1572207054000;#gopcomplicit;trump;2
1572214360000;#greatestpresidentever;trump;2
1572214693000;#greed;trump;2
1572205923000;#haberler;trump;2
1572205406000;#hero;trump;2
1572210342000;#hillaryclinton;trump;2
1572214032000;#idlib;trump;5
1572213180000;#impeachmenttaskforce;trump;14
1572215637000;#impeachment;trump;34
1572210991000;#impeach;trump;24
1572207207000;#isil;trump;4
1572205672000;#isissaviortrump;trump;2
1572205293000;#islam;trump;2
1572207181000;#kag2020landslidevictory;trump;9
1572211803000;#kag2020;trump;34
1572207812000;#kamalaharris;election2020;3
1572207173000;#kurdistan;trump;5
1572204519000;#kurds;trump;7
1572209198000;#m4a;sanders;3
1572213333000;#makeamericagreatagain;trump;2
1572214899000;#mediawarefare;trump;3
1572215093000;#mepolitics;election2020;2
1572215694000;#michigan;trump;3
1572212819000;#mort;trump;3
1572211477000;#moscowmitch;trump;4
1572206123000;#nomiddleground;sanders;6
1572205662000;#notabovethelaw;trump;93
1572211517000;#osamabinladen;trump;7
1572210997000;#patriotsfight;trump;2
1572214329000;#politicon2019;trump;5
1572214829000;#politicsnation;trump;30
1572206944000;#politics;trump;13
1572211312000;#presidenttrump;trump;4
1572203433000;#qanon;trump;8
1572213817000;#rashidatlaib;sanders;44
1572210102000;#robertreich;sanders;5
1572214680000;#seattle;trump;2
1572212158000;#seriemundial;trump;6
1572216270000;#smartest;warren;4
1572213026000;#specialforcesmissioncompled;trump;3
1572204559000;#staywoke;trump;2
1572204429000;#techno;election2020;3
1572204245000;#thatsright;trump;5
1572209435000;#theswamp;trump;2
1572205167000;#told;trump;4
1572214683000;#traitorinchief;trump;2
1572215242000;#traitortrump;trump;20
1572212239000;#trump2016;trump;2
1572213942000;#trumpcardcalling;trump;2
1572205277000;#trumploser;trump;2
1572206772000;#trumptaxreturns;trump;3
1572215196000;#trustme;trump;2
1572211621000;#twgrp;trump;4
1572212952000;#twitch;trump;2
1572212465000;#une;trump;2
1572205498000;#voteblueky;election2020;5
1572212784000;#warmongering;trump;3
1572213238000;#xxl;trump;2
1572205707000;#yang2020;trump;6
1572215411000;#27oct;election2020;2
1572204581000;#actualités;trump;2
1572208285000;#ados;election2020;2
1572215298000;#ados;sanders;16
1572205099000;#ados;warren;2
1572208455000;#albagdadi;trump;3
1572211320000;#america;election2020;2
1572208695000;#amreading;trump;2
1572203871000;#antisemite;sanders;2
1572216047000;#arielsarmy;trump;21
1572216810000;#bbcpapers;trump;4
1572214898000;#bernie2020;biden;4
1572216578000;#bernieinmi;sanders;18
1572204758000;#bernieinnh;sanders;2
1572209497000;#bordersecurity;trump;2
1572210394000;#boycottasda;sanders;3
1572210972000;#cbs;election2020;5
1572211589000;#climatechange;sanders;4
1572213070000;#clintons;trump;11
1572205274000;#cnn;election2020;9
1572206791000;#corruptgop;trump;2
1572215426000;#cowardinchief;trump;3
1572209140000;#deletefacebook;trump;2
1572209328000;#demsrsatan;trump;2
1572211671000;#dems;trump;10
1572208601000;#despicabledonald;trump;2
1572214562000;#donniebedbugs;trump;5
1572212675000;#donthecon;trump;2
