1572211759000;sanders;Reply;501
1572207687000;warren;Reply;117
1572209967000;biden;Retweet;629
1572203746000;election2020;Retweet;2704
1572203359000;trump;Retweet;72014
1572208112000;warren;Retweet;1620
1572211987000;trump;Original Tweet;11306
1572212011000;warren;Original Tweet;419
1572216128000;election2020;Reply;216
1572213916000;sanders;Retweet;8105
1572213029000;election2020;Original Tweet;759
1572214395000;trump;Reply;3198
1572215717000;biden;Original Tweet;92
1572209914000;sanders;Original Tweet;1519
1572211704000;biden;Reply;39
